param_id,param_apsim,value,group_id,set_id,set_script,set_pdes,set_pcat,do_manually
10,moistDaysBefore,14,rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
11,moistDaysAfter,1,rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
12,moistMaxLayers,2,rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
13,coldStage,4,rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
14,coldTT,4,rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
15,xSurfaceOMString,"0,2500,10000",rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
16,ySurfaceOMString,"1, 1, 1",rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
17,xMoistureString,"0,1,2",rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
18,yMoistureString,"1, 1, 1",rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
19,xTTString,"0,15,100",rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
20,yTTString,"1, 1, 1",rue,1002,kill,"1.5-2 wet kill, 3%",wet,N
21,moistDaysBefore,14,xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
22,moistDaysAfter,1,xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
23,moistMaxLayers,2,xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
24,coldStage,4,xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
25,coldTT,4,xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
26,xSurfaceOMString,"0,2500,10000",xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
27,ySurfaceOMString,"1, 1, 1",xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
28,xMoistureString,"0,1,2",xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
29,yMoistureString,"1, 1, 1",xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
30,xTTString,"0,15,100",xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
31,yTTString,"1, 1, 1",xf,1002,kill,"1.5-2 wet kill, 3%",wet,N
1,startStage,1,kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
2,endStage,3.5,kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
3,maxLayer,3,kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
4,moistLim,2,kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
5,tempLim,2,kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
6,xMoistString,"0, 0.5, 1.25, 2",kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
7,yMoistString,"0, 0, 0, 0.03",kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
8,xTempString,"-3.5, 0",kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
9,yTempString,"0, 0",kill,1003,kill,"1.25-2 wet kill, 3%",wet,N
10,moistDaysBefore,14,rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
11,moistDaysAfter,1,rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
12,moistMaxLayers,2,rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
13,coldStage,4,rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
14,coldTT,4,rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
15,xSurfaceOMString,"0,2500,10000",rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
16,ySurfaceOMString,"1, 1, 1",rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
17,xMoistureString,"0,1,2",rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
18,yMoistureString,"1, 1, 1",rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
19,xTTString,"0,15,100",rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
20,yTTString,"1, 1, 1",rue,1003,kill,"1.25-2 wet kill, 3%",wet,N
21,moistDaysBefore,14,xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
22,moistDaysAfter,1,xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
23,moistMaxLayers,2,xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
24,coldStage,4,xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
25,coldTT,4,xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
26,xSurfaceOMString,"0,2500,10000",xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
27,ySurfaceOMString,"1, 1, 1",xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
28,xMoistureString,"0,1,2",xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
29,yMoistureString,"1, 1, 1",xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
30,xTTString,"0,15,100",xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
31,yTTString,"1, 1, 1",xf,1003,kill,"1.25-2 wet kill, 3%",wet,N
1,startStage,1,kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
2,endStage,3.5,kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
3,maxLayer,3,kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
4,moistLim,2,kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
5,tempLim,2,kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
6,xMoistString,"0, 0.5, 1.5, 2",kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
7,yMoistString,"0, 0, 0, 0.10",kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
8,xTempString,"-3.5, 0",kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
9,yTempString,"0, 0",kill,1004,kill,"1.5-2 wet kill, 10%",wet,N
10,moistDaysBefore,14,rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
11,moistDaysAfter,1,rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
12,moistMaxLayers,2,rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
13,coldStage,4,rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
14,coldTT,4,rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
15,xSurfaceOMString,"0,2500,10000",rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
16,ySurfaceOMString,"1, 1, 1",rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
17,xMoistureString,"0,1,2",rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
18,yMoistureString,"1, 1, 1",rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
19,xTTString,"0,15,100",rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
20,yTTString,"1, 1, 1",rue,1004,kill,"1.5-2 wet kill, 10%",wet,N
21,moistDaysBefore,14,xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
22,moistDaysAfter,1,xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
23,moistMaxLayers,2,xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
24,coldStage,4,xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
25,coldTT,4,xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
26,xSurfaceOMString,"0,2500,10000",xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
27,ySurfaceOMString,"1, 1, 1",xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
28,xMoistureString,"0,1,2",xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
29,yMoistureString,"1, 1, 1",xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
30,xTTString,"0,15,100",xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
31,yTTString,"1, 1, 1",xf,1004,kill,"1.5-2 wet kill, 10%",wet,N
1,startStage,1,kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
2,endStage,3.5,kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
3,maxLayer,3,kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
4,moistLim,2,kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
5,tempLim,2,kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
6,xMoistString,"0, 0.5, 1.5, 2",kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
7,yMoistString,"0.01, 0, 0, 0",kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
8,xTempString,"-3.5, 0",kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
9,yTempString,"0, 0",kill,1005,kill,"0-0.5 dry kill, 1%",dry,N
10,moistDaysBefore,14,rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
11,moistDaysAfter,1,rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
12,moistMaxLayers,2,rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
13,coldStage,4,rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
14,coldTT,4,rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
15,xSurfaceOMString,"0,2500,10000",rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
16,ySurfaceOMString,"1, 1, 1",rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
17,xMoistureString,"0,1,2",rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
18,yMoistureString,"1, 1, 1",rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
19,xTTString,"0,15,100",rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
20,yTTString,"1, 1, 1",rue,1005,kill,"0-0.5 dry kill, 1%",dry,N
21,moistDaysBefore,14,xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
22,moistDaysAfter,1,xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
23,moistMaxLayers,2,xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
24,coldStage,4,xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
25,coldTT,4,xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
26,xSurfaceOMString,"0,2500,10000",xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
27,ySurfaceOMString,"1, 1, 1",xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
28,xMoistureString,"0,1,2",xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
29,yMoistureString,"1, 1, 1",xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
30,xTTString,"0,15,100",xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
31,yTTString,"1, 1, 1",xf,1005,kill,"0-0.5 dry kill, 1%",dry,N
1,startStage,1,kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
2,endStage,3.5,kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
3,maxLayer,3,kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
4,moistLim,2,kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
5,tempLim,2,kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
6,xMoistString,"0, 0.5, 1.5, 2",kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
7,yMoistString,"0.1, 0, 0, 0",kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
8,xTempString,"-3.5, 0",kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
9,yTempString,"0, 0",kill,1006,kill,"0-0.5 dry kill, 10%",dry,N
10,moistDaysBefore,14,rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
11,moistDaysAfter,1,rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
12,moistMaxLayers,2,rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
13,coldStage,4,rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
14,coldTT,4,rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
15,xSurfaceOMString,"0,2500,10000",rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
16,ySurfaceOMString,"1, 1, 1",rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
17,xMoistureString,"0,1,2",rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
18,yMoistureString,"1, 1, 1",rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
19,xTTString,"0,15,100",rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
20,yTTString,"1, 1, 1",rue,1006,kill,"0-0.5 dry kill, 10%",dry,N
21,moistDaysBefore,14,xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
22,moistDaysAfter,1,xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
23,moistMaxLayers,2,xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
24,coldStage,4,xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
25,coldTT,4,xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
26,xSurfaceOMString,"0,2500,10000",xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
27,ySurfaceOMString,"1, 1, 1",xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
28,xMoistureString,"0,1,2",xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
29,yMoistureString,"1, 1, 1",xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
30,xTTString,"0,15,100",xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
31,yTTString,"1, 1, 1",xf,1006,kill,"0-0.5 dry kill, 10%",dry,N
1,startStage,1,kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
2,endStage,3.5,kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
3,maxLayer,3,kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
4,moistLim,2,kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
5,tempLim,2,kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
7,yMoistString,"0, 0, 0, 0, 0",kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
8,xTempString,"-10, -3.5, 0",kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
9,yTempString,"0.1, 0.1, 0",kill,1007,kill,"-3.5-0 cold kill, 10%",cold,N
10,moistDaysBefore,14,rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
11,moistDaysAfter,1,rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
12,moistMaxLayers,2,rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
13,coldStage,4,rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
14,coldTT,4,rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
15,xSurfaceOMString,"0,2500,10000",rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
16,ySurfaceOMString,"1, 1, 1",rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
17,xMoistureString,"0,1,2",rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
18,yMoistureString,"1, 1, 1",rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
19,xTTString,"0,15,100",rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
20,yTTString,"1, 1, 1",rue,1007,kill,"-3.5-0 cold kill, 10%",cold,N
21,moistDaysBefore,14,xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
22,moistDaysAfter,1,xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
23,moistMaxLayers,2,xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
24,coldStage,4,xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
25,coldTT,4,xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
26,xSurfaceOMString,"0,2500,10000",xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
27,ySurfaceOMString,"1, 1, 1",xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
28,xMoistureString,"0,1,2",xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
29,yMoistureString,"1, 1, 1",xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
30,xTTString,"0,15,100",xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
31,yTTString,"1, 1, 1",xf,1007,kill,"-3.5-0 cold kill, 10%",cold,N
1,startStage,1,kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
2,endStage,3.5,kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
3,maxLayer,3,kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
4,moistLim,2,kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
5,tempLim,2,kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
7,yMoistString,"0, 0, 0, 0, 0",kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
8,xTempString,"-10, -3.5, 0",kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
9,yTempString,"0.2, 0.2, 0",kill,1008,kill,"-3.5-0 cold kill, 20%",cold,N
10,moistDaysBefore,14,rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
11,moistDaysAfter,1,rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
12,moistMaxLayers,2,rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
13,coldStage,4,rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
14,coldTT,4,rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
15,xSurfaceOMString,"0,2500,10000",rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
16,ySurfaceOMString,"1, 1, 1",rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
17,xMoistureString,"0,1,2",rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
18,yMoistureString,"1, 1, 1",rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
19,xTTString,"0,15,100",rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
20,yTTString,"1, 1, 1",rue,1008,kill,"-3.5-0 cold kill, 20%",cold,N
21,moistDaysBefore,14,xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
22,moistDaysAfter,1,xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
23,moistMaxLayers,2,xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
24,coldStage,4,xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
25,coldTT,4,xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
26,xSurfaceOMString,"0,2500,10000",xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
27,ySurfaceOMString,"1, 1, 1",xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
28,xMoistureString,"0,1,2",xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
29,yMoistureString,"1, 1, 1",xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
30,xTTString,"0,15,100",xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
31,yTTString,"1, 1, 1",xf,1008,kill,"-3.5-0 cold kill, 20%",cold,N
1,startStage,1,kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
2,endStage,3.5,kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
3,maxLayer,3,kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
4,moistLim,2,kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
5,tempLim,2,kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
6,xMoistString,"0, 0.5, 1.5, 2",kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
7,yMoistString,"0, 0, 0, 0.05",kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
8,xTempString,"-3.5, 0",kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
9,yTempString,"0, 0",kill,1009,kill,"1.5-2 wet kill, 5%",wet,N
10,moistDaysBefore,14,rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
11,moistDaysAfter,1,rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
12,moistMaxLayers,2,rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
13,coldStage,4,rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
14,coldTT,4,rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
15,xSurfaceOMString,"0,2500,10000",rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
16,ySurfaceOMString,"1, 1, 1",rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
17,xMoistureString,"0,1,2",rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
18,yMoistureString,"1, 1, 1",rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
19,xTTString,"0,15,100",rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
20,yTTString,"1, 1, 1",rue,1009,kill,"1.5-2 wet kill, 5%",wet,N
21,moistDaysBefore,14,xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
22,moistDaysAfter,1,xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
23,moistMaxLayers,2,xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
24,coldStage,4,xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
25,coldTT,4,xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
26,xSurfaceOMString,"0,2500,10000",xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
27,ySurfaceOMString,"1, 1, 1",xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
28,xMoistureString,"0,1,2",xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
29,yMoistureString,"1, 1, 1",xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
30,xTTString,"0,15,100",xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
31,yTTString,"1, 1, 1",xf,1009,kill,"1.5-2 wet kill, 5%",wet,N
1,startStage,1,kill,1010,kill,5% kill all the time,flat,Y
2,endStage,3.5,kill,1010,kill,5% kill all the time,flat,Y
3,maxLayer,3,kill,1010,kill,5% kill all the time,flat,Y
4,moistLim,2,kill,1010,kill,5% kill all the time,flat,Y
5,tempLim,2,kill,1010,kill,5% kill all the time,flat,Y
6,xMoistString,"0, 0.5, 1.5, 2",kill,1010,kill,5% kill all the time,flat,Y
7,yMoistString,"0.05, 0.05, 0.05, 0.05",kill,1010,kill,5% kill all the time,flat,Y
8,xTempString,"-3.5, 0",kill,1010,kill,5% kill all the time,flat,Y
9,yTempString,"0, 0",kill,1010,kill,5% kill all the time,flat,Y
10,moistDaysBefore,14,rue,1010,kill,5% kill all the time,flat,Y
11,moistDaysAfter,1,rue,1010,kill,5% kill all the time,flat,Y
12,moistMaxLayers,2,rue,1010,kill,5% kill all the time,flat,Y
13,coldStage,4,rue,1010,kill,5% kill all the time,flat,Y
14,coldTT,4,rue,1010,kill,5% kill all the time,flat,Y
15,xSurfaceOMString,"0,2500,10000",rue,1010,kill,5% kill all the time,flat,Y
16,ySurfaceOMString,"1, 1, 1",rue,1010,kill,5% kill all the time,flat,Y
17,xMoistureString,"0,1,2",rue,1010,kill,5% kill all the time,flat,Y
18,yMoistureString,"1, 1, 1",rue,1010,kill,5% kill all the time,flat,Y
19,xTTString,"0,15,100",rue,1010,kill,5% kill all the time,flat,Y
20,yTTString,"1, 1, 1",rue,1010,kill,5% kill all the time,flat,Y
21,moistDaysBefore,14,xf,1010,kill,5% kill all the time,flat,Y
22,moistDaysAfter,1,xf,1010,kill,5% kill all the time,flat,Y
23,moistMaxLayers,2,xf,1010,kill,5% kill all the time,flat,Y
24,coldStage,4,xf,1010,kill,5% kill all the time,flat,Y
25,coldTT,4,xf,1010,kill,5% kill all the time,flat,Y
26,xSurfaceOMString,"0,2500,10000",xf,1010,kill,5% kill all the time,flat,Y
27,ySurfaceOMString,"1, 1, 1",xf,1010,kill,5% kill all the time,flat,Y
28,xMoistureString,"0,1,2",xf,1010,kill,5% kill all the time,flat,Y
29,yMoistureString,"1, 1, 1",xf,1010,kill,5% kill all the time,flat,Y
30,xTTString,"0,15,100",xf,1010,kill,5% kill all the time,flat,Y
31,yTTString,"1, 1, 1",xf,1010,kill,5% kill all the time,flat,Y
1,startStage,1,kill,1011,kill,1% kill all the time,flat,Y
2,endStage,3.5,kill,1011,kill,1% kill all the time,flat,Y
3,maxLayer,3,kill,1011,kill,1% kill all the time,flat,Y
4,moistLim,2,kill,1011,kill,1% kill all the time,flat,Y
5,tempLim,2,kill,1011,kill,1% kill all the time,flat,Y
6,xMoistString,"0, 0.5, 1.5, 2",kill,1011,kill,1% kill all the time,flat,Y
7,yMoistString,"0.01, 0.01, 0.01, 0.01",kill,1011,kill,1% kill all the time,flat,Y
8,xTempString,"-3.5, 0",kill,1011,kill,1% kill all the time,flat,Y
9,yTempString,"0, 0",kill,1011,kill,1% kill all the time,flat,Y
10,moistDaysBefore,14,rue,1011,kill,1% kill all the time,flat,Y
11,moistDaysAfter,1,rue,1011,kill,1% kill all the time,flat,Y
12,moistMaxLayers,2,rue,1011,kill,1% kill all the time,flat,Y
13,coldStage,4,rue,1011,kill,1% kill all the time,flat,Y
